IntDate,HousehldID,VillageID,HhMmbrs,OwnDogs,DgsOwnd,AdltDgs,Puppies,DogDied,NumDd,DogBite
1/30/17,13-172-2,13,4,0,0,0,0,0,0,0
1/30/17,2-87-7,2,6,0,0,0,0,0,0,0
1/30/17,49-1-1,49,1,0,0,0,0,0,0,0
1/30/17,13-224-3,13,9,1,1,1,0,0,0,0
1/30/17,2-109-5,2,3,0,0,0,0,0,0,0
1/30/17,67-9-2,67,11,0,0,0,0,0,0,0
1/30/17,49-256-2,49,4,0,0,0,0,0,0,0
1/30/17,2-155-4,2,3,0,0,0,0,0,0,0
1/30/17,49-256-3,49,4,0,0,0,0,0,0,0
1/30/17,13-8-9,13,4,0,0,0,0,0,0,0
1/30/17,13-260-3,13,3,0,0,0,0,0,0,0
1/30/17,13-260-2,13,4,0,0,0,0,0,0,0
1/30/17,67-7-3,67,9,0,0,0,0,0,0,0
1/30/17,2/21/19,2,2,0,0,0,0,0,0,0
1/30/17,49-2-5,49,6,1,1,1,0,0,0,0
1/30/17,49-3-5,49,4,0,0,0,0,0,0,0
1/30/17,13-10-2,13,1,0,0,0,0,0,0,0
1/30/17,2/23/17,2,7,1,1,1,0,0,0,0
1/30/17,49-6-13,49,7,0,0,0,0,0,0,0
1/30/17,2/23/18,2,6,0,0,0,0,0,0,0
1/30/17,13-154-3,13,3,0,0,0,0,0,0,0
1/30/17,2-249-2,2,6,1,2,1,1,0,0,0
1/30/17,2-183-3,2,5,1,1,1,0,0,0,0
1/30/17,13-9-2,13,3,0,0,0,0,0,0,0
1/30/17,13-170-2,13,4,1,1,1,0,0,0,0
1/30/17,2-253-1,2,6,1,4,4,0,0,0,0
1/30/17,49-20-4,49,4,0,0,0,0,0,0,0
1/30/17,2-255-1,2,6,1,3,3,0,0,0,0
1/30/17,2-193-3,2,4,1,2,2,0,0,0,0
1/30/17,49-272-2,49,7,1,2,1,1,0,0,0
1/30/17,68-9-13,68,1,1,1,1,0,0,0,0
1/30/17,68-9-15,68,6,1,1,1,0,0,0,0
1/30/17,68-89-1,68,4,1,1,1,0,0,0,0
1/30/17,68-7-6,68,2,0,0,0,0,0,0,0
1/30/17,68-7-4,68,1,0,0,0,0,0,0,0
1/30/17,68-7-5,68,2,0,0,0,0,0,0,0
1/30/17,68-6-2,68,3,0,0,0,0,0,0,0
1/30/17,68-73-3,68,7,1,1,1,0,0,0,0
1/31/17,67-84-2,67,15,1,3,3,0,0,0,0
1/31/17,67-2-3,67,5,0,0,0,0,0,0,0
1/31/17,49-155-2,49,6,0,0,0,0,0,0,0
1/31/17,2-191-2,2,7,1,5,5,0,0,0,0
1/31/17,67-57-3,67,5,1,2,2,0,0,0,0
1/31/17,2-205-2,2,7,1,3,3,0,0,0,0
1/31/17,13-319-2,13,9,1,1,1,0,0,0,0
1/31/17,2/24/06,2,2,0,0,0,0,0,0,0
1/31/17,13-2-3,13,5,1,3,3,0,0,0,0
1/31/17,2/24/07,2,4,0,0,0,0,0,0,0
1/31/17,49-183-3,49,2,1,2,2,0,0,0,0
1/31/17,13-256-3,13,8,1,3,2,1,0,0,0
1/31/17,13-2-4,13,7,0,0,0,0,0,0,0
1/30/17,49-254-4,49,5,1,2,2,0,0,0,0
1/31/17,2-195-3,2,7,1,1,1,0,0,0,0
1/31/17,67-57-2,67,2,0,0,0,0,0,0,0
1/31/17,49-16-2,49,2,0,0,0,0,1,NA,0
1/31/17,13-235-5,13,6,0,0,0,0,0,0,0
1/31/17,67-4-4,67,1,1,2,2,0,0,0,0
1/31/17,13-4-9,13,8,0,0,0,0,0,0,0
